run_id,condition,load,injection_rate,seed,packets_generated,packets_delivered,packets_dropped,pdr_percent,throughput_packets_per_tick,mean_latency_ticks,mean_queue_length,peak_queue_length,mean_congested_nodes_percent,peak_congested_nodes_percent,recovery_time_ticks
1,Sin Control,Baja,0.04,42,595,582,0,97.81512605042016,1.94,3.5240549828178693,0.0008666666666666667,1,0.0,0.0,0.0
2,Sin Control,Baja,0.04,101,596,588,0,98.65771812080537,1.96,4.049319727891157,0.0022,3,0.0,0.0,0.0
3,Sin Control,Baja,0.04,202,612,602,0,98.36601307189542,2.006666666666667,3.7940199335548175,0.0015333333333333334,2,0.0,0.0,0.0
4,Sin Control,Baja,0.04,303,578,567,0,98.09688581314879,1.89,4.425044091710759,0.0022,2,0.0,0.0,0.0
5,Sin Control,Baja,0.04,404,589,584,0,99.15110356536503,1.9466666666666668,3.8013698630136985,0.001466666666666667,2,0.0,0.0,0.0
6,Sin Control,Baja,0.04,505,560,556,0,99.28571428571429,1.8533333333333333,4.086330935251799,0.0019333333333333336,3,0.0,0.0,0.0
7,Sin Control,Baja,0.04,606,571,566,0,99.12434325744309,1.8866666666666667,3.73321554770318,0.0014000000000000002,3,0.0,0.0,0.0
8,Sin Control,Baja,0.04,707,640,635,0,99.21875,2.1166666666666667,3.7732283464566927,0.0024000000000000002,1,0.0,0.0,0.0
9,Sin Control,Baja,0.04,808,613,602,0,98.20554649265905,2.006666666666667,4.259136212624584,0.002,2,0.0,0.0,0.0
10,Sin Control,Baja,0.04,909,601,592,0,98.50249584026622,1.9733333333333334,3.8057432432432434,0.0010666666666666667,2,0.0,0.0,0.0
11,Sin Control,Media,0.12,42,1783,1758,0,98.59786876051598,5.86,3.9021615472127418,0.03573333333333334,5,0.0,0.0,0.0
12,Sin Control,Media,0.12,101,1785,1755,0,98.31932773109243,5.85,4.698005698005698,0.06666666666666667,12,0.0,0.0,0.0
13,Sin Control,Media,0.12,202,1792,1771,0,98.828125,5.903333333333333,4.0773574251835125,0.039933333333333335,5,0.0,0.0,0.0
14,Sin Control,Media,0.12,303,1855,1820,15,98.11320754716981,6.066666666666666,5.782417582417582,0.17900000000000002,18,0.18000000000000002,2.0,0.0
15,Sin Control,Media,0.12,404,1807,1785,0,98.7825124515772,5.95,4.1910364145658265,0.047266666666666665,4,0.0,0.0,0.0
16,Sin Control,Media,0.12,505,1855,1827,0,98.49056603773585,6.09,4.655172413793103,0.07373333333333333,8,0.0,0.0,0.0
17,Sin Control,Media,0.12,606,1775,1757,0,98.98591549295774,5.8566666666666665,4.1371656232214,0.0364,4,0.0,0.0,0.0
18,Sin Control,Media,0.12,707,1679,1654,0,98.51101846337106,5.513333333333334,4.580411124546554,0.09166666666666666,11,0.0,0.0,0.0
19,Sin Control,Media,0.12,808,1821,1789,0,98.24272377814388,5.963333333333333,4.724427054220235,0.06326666666666665,5,0.0,0.0,0.0
20,Sin Control,Media,0.12,909,1808,1786,0,98.78318584070797,5.953333333333333,4.303471444568869,0.05906666666666668,7,0.0,0.0,0.0
21,Sin Control,Alta,0.28,42,4233,3684,415,87.03047484053863,12.28,10.998371335504887,1.9658666666666667,18,4.573333333333332,10.0,0.0
22,Sin Control,Alta,0.28,101,4138,3131,821,75.66457225712905,10.436666666666667,13.061322261258384,2.256466666666667,18,6.22,12.0,0.0
23,Sin Control,Alta,0.28,202,4210,3431,657,81.49643705463183,11.436666666666667,9.958029728942,1.5898666666666668,18,4.973333333333333,10.0,0.0
